"","learning_rate","mean_error"
"1",0.001,0.530503514917267
"2",0.002,0.627929980522044
"3",0.003,0.290469999580759
"4",0.004,0.387088828427996
"5",0.005,0.159221920757253
"6",0.006,0.387953825377802
"7",0.007,0.195280402393622
"8",0.008,0.125744382856921
"9",0.009,0.110158043196246
"10",0.01,0.183373991730705
"11",0.011,0.120555346624333
"12",0.012,0.142139240448731
"13",0.013,0.124955142837138
"14",0.014,0.140198851262721
"15",0.015,0.122481302648128
"16",0.016,0.120820703946353
"17",0.017,0.126844217545892
"18",0.018,0.130544281837706
"19",0.019,0.112215276536107
"20",0.02,0.110506277647442
"21",0.021,0.137863880042579
"22",0.022,0.14741109010181
"23",0.023,0.116023418314577
"24",0.024,0.113038619797137
"25",0.025,0.0937541005972537
"26",0.026,0.140331917681125
"27",0.027,0.155737479904023
"28",0.028,0.103450723738053
"29",0.029,0.138958677184331
"30",0.03,0.147771401486936
"31",0.031,0.0875988184131714
"32",0.032,0.123295791330998
"33",0.033,0.126540725681959
"34",0.034,0.121131611571305
"35",0.035,0.11284582246909
"36",0.036,0.142514470707826
"37",0.037,0.139163462579306
"38",0.038,0.107284569700004
"39",0.039,0.129482480312248
"40",0.04,0.148598779138861
"41",0.041,0.131202612800488
"42",0.042,0.128271891732027
"43",0.043,0.15143173878549
"44",0.044,0.133891256298863
"45",0.045,0.150242695884092
"46",0.046,0.0968108905396882
"47",0.047,0.125115811717187
"48",0.048,0.141217998880689
"49",0.049,0.117897394568616
"50",0.05,0.145523026926492
"51",0.051,0.11982584048595
"52",0.052,0.159828739766442
"53",0.053,0.103566159705318
"54",0.054,0.139709721889754
"55",0.055,0.11180183218456
"56",0.056,0.115547598647925
"57",0.057,0.139420147328083
"58",0.058,0.129974862925353
"59",0.059,0.125198202276692
"60",0.06,0.109896561488106
"61",0.061,0.129065535856747
"62",0.062,0.113749609640893
"63",0.063,0.0949379625237467
"64",0.064,0.132592946290593
"65",0.065,0.118726249974306
"66",0.066,0.113236430525218
"67",0.067,0.0958205172279226
"68",0.068,0.115580733913844
"69",0.069,0.121581807942513
"70",0.07,0.118168501721294
"71",0.071,0.122403964906523
"72",0.072,0.0934880382710032
"73",0.073,0.0979143407532673
"74",0.074,0.1349063766858
"75",0.075,0.0983833907690885
"76",0.076,0.117661935665634
"77",0.077,0.117681180225494
"78",0.078,0.113520569235684
"79",0.079,0.123068437957217
"80",0.08,0.110706518054137
"81",0.081,0.132917542222854
"82",0.082,0.125242620000636
"83",0.083,0.119429250366944
"84",0.084,0.110629784089198
"85",0.085,0.10953492595894
"86",0.086,0.118139381441927
"87",0.087,0.0938679455591473
"88",0.088,0.148183109787397
"89",0.089,0.10807470390979
"90",0.09,0.105150196603337
"91",0.091,0.133309437003387
"92",0.092,0.117566226865197
"93",0.093,0.111474959559665
"94",0.094,0.108964219146089
"95",0.095,0.0932065421549213
"96",0.096,0.122669136944984
"97",0.097,0.128650736107082
"98",0.098,0.860387368317502
"99",0.099,0.120643521270496
"100",0.1,0.86007774639873
